Product description (HS),Product Category,Product description (FAOSTAT),Water Status,US Average,Global Average,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennyslvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,US Great Lakes,Lake Erie (US)
Dry pasta,Grains,Wheat,Green,1891.659902,1292.395628,1239,404,1565,734,2722,,1398,1212,1361,,1437,1466,1390,1549,2067,1395,1381,1043,1485,1334,1407,1230,1479,1486,2381,2228,1784,,1672,1695,1388,1438,1271,1419,2299,2093,1622,,1346,1873,1476,2059,1960,1244,1485,2153,1514,1534,2807,1218,1321
Dry pasta,Grains,Wheat,Blue,92.99908577,346.5264657,0,858,20,529,242,,22,,23,,874,1,1,15,77,4,3,0,4,,4,0,11,6,53,116,907,,11,954,1,5,1,10,36,278,0,,6,3,1,308,679,,1,265,11,1,130,,
Dry pasta,Grains,Wheat,Grey,231.9321395,209.8878182,129,158,148,160,374,,137,135,147,,216,135,133,146,226,128,131,122,144,129,147,154,136,137,302,258,319,,146,247,139,146,186,134,228,324,139,,154,209,132,251,292,131,154,339,142,142,324,121,121
Wheat gluten,Grains,Wheat,Green,4285.614864,2927.962847,2808,915,3547,1664,6166,,3168,2745,3083,,3256,3320,3149,3509,4682,3160,3128,2363,3364,3022,3187,2787,3351,3366,5395,5047,4041,,3789,3840,3144,3258,2879,3216,5209,4741,3674,,3049,4243,3344,4665,4441,2818,3365,4879,3430,3475,6359,2760,2994
Wheat gluten,Grains,Wheat,Blue,210.6923469,785.0665811,1,1944,45,1198,549,,50,,52,,1980,1,3,34,175,10,6,0,8,,8,0,25,15,121,263,2054,,24,2162,3,11,3,23,82,629,1,,14,6,1,698,1538,,3,601,26,2,295,,
Wheat gluten,Grains,Wheat,Grey,525.4495395,475.507438,292,358,335,362,848,,310,306,334,,490,306,302,331,511,289,297,276,326,291,334,349,307,311,685,584,724,,331,560,316,330,421,304,517,734,315,,349,473,299,570,662,297,348,769,322,322,735,274,274
Maize ,Grains,Maize,Green,522.4293947,947.196348,633,249,406,139,379,459,477,486,505,,951,578,526,553,479,581,554,377,505,456,466,525,510,591,306,443,643,394,444,394,447,528,509,493,464,279,456,470,538,586,648,556,247,412,520,209,442,465,314,414,457
Maize ,Grains,Maize,Blue,63.28783472,81.2263956,15,603,211,440,355,3,34,78,71,,,5,7,2,265,2,89,0,13,0,14,4,79,27,290,191,242,,5,398,1,4,23,0,306,410,1,,11,17,4,254,499,0,9,427,0,3,342,,
Maize ,Grains,Maize,Grey,176.4828976,193.9309197,187,174,162,143,157,150,153,146,165,,649,192,172,177,166,190,180,138,165,149,163,165,179,186,162,153,423,132,146,162,149,152,184,165,176,205,150,157,171,215,211,205,163,144,170,175,155,158,157,131,131
Maize oil,Grains,Maize,Green,1100.686602,1995.611925,1333,524,855,293,799,967,1006,1023,1065,,2005,1219,1108,1164,1010,1225,1168,794,1064,962,982,1105,1075,1244,645,934,1355,829,935,831,942,1112,1072,1039,978,589,961,991,1133,1236,1366,1172,521,868,1096,440,931,979,661,872,963
Maize oil,Grains,Maize,Blue,133.3387295,171.1328005,31,1270,444,926,748,6,72,164,149,,,11,14,3,558,5,186,0,27,0,29,9,166,57,611,402,509,,11,839,3,8,48,0,646,865,1,,24,35,9,535,1051,0,19,899,0,7,721,,
Maize oil,Grains,Maize,Grey,371.825098,408.5856715,394,366,342,301,331,316,322,308,348,,1368,404,363,374,349,401,378,292,348,313,343,348,377,391,341,323,892,279,307,342,313,321,388,348,371,431,316,330,360,453,445,433,343,304,359,369,327,332,332,276,276
Oats,Grains,Oats,Green,1313.327849,1478.705099,1662,495,1246,652,1334,1254,1190,1566,1345,,1021,1608,1497,1736,1378,1454,1160,1244,1307,1290,1335,1679,1209,1242,1901,1816,915,1127,1243,882,1367,1316,1681,1477,1538,1297,1476,1208,1531,1644,1529,1525,1132,1226,1252,715,1413,1502,1795,180,495
Oats,Grains,Oats,Blue,594.6719574,181.0401797,59,2208,139,1863,1065,304,422,223,326,,1454,117,181,3,12,259,263,2,289,256,172,20,157,34,158,62,1314,1,382,2060,78,225,1,48,140,1092,24,304,115,5,284,317,1119,96,318,1501,25,75,364,1,
Oats,Grains,Oats,Grey,215.2163291,128.1030769,205,191,211,189,247,183,180,188,193,,231,214,209,218,216,198,188,181,194,185,203,211,197,194,295,248,281,182,184,194,200,193,244,211,241,207,207,184,203,251,201,259,263,181,192,192,197,199,323,23,59
Cabbages ,Vegetables,Cabbages ,Green,122.8409094,181.1166554,224,49,228,45,151,171,171,243,178,171,70,204,196,224,276,195,231,152,171,169,157,200,240,228,193,234,61,165,172,114,160,179,212,188,261,77,177,168,191,234,212,193,90,161,169,55,187,164,121,55,63
Cabbages ,Vegetables,Cabbages ,Blue,118.6040539,26.36557211,24,208,44,188,133,36,46,40,61,101,211,23,27,1,7,30,49,5,49,32,43,15,18,15,42,22,236,24,45,216,31,32,2,19,47,155,25,35,36,7,35,115,202,9,42,194,5,35,133,0,
Cabbages ,Vegetables,Cabbages ,Grey,59.7915425,72.85248778,63,56,79,54,72,52,52,53,54,55,60,66,61,69,91,60,61,53,53,52,54,63,73,68,99,83,60,53,52,60,53,53,86,60,88,55,56,53,55,92,64,72,69,52,54,55,59,53,75,16,16
Asparagus,Vegetables,Asparagus,Green,952.7199504,1523.999093,,665,2264,800,1948,1784,2126,,,,835,2145,1980,2123,2047,1981,,1467,2004,1726,1824,1793,,1939,1324,2231,1767,1669,1890,1031,1626,2042,1736,1753,2232,1080,1742,1705,2050,1476,2232,1119,854,1559,1780,813,1729,1586,2549,321,415
